brand,line,model,size,slot,capacity_l,len_cm,wid_cm,hgt_cm,dia_cm,dims_state,dims_raw,dims_note,dims_source,dims_source_url,fabric,closure,shape,compression_straps,pockets,bags_per_listing,mounting_system,max_load,colorway_count,colorways,image_count,images,product_url
Apidura,Expedition,Saddle Pack,9L,seatpack,9,42,15,16,,packed,MIN 36 cm / MAX 42 cm length; 16 cm height; Tapered Width: 15 - 5 cm (5.9 - 1.9 in); 13 cm diagonal,"Diagram gives MIN 36 / MAX 42 cm length. MAX is the length at the rated 9 L (42x16x15 = 10 L box), so MAX is used; MIN is the fully-rolled-down length at reduced volume. Width tapers 15 cm at the saddle to 5 cm at the tail.",maker,,TPU laminate (shiny welded),rolltop with quick-release buckle,tapered,1,,1,,,1,Black #1c1c1e,3,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-9l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-9l-on-bike-2.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-9l-2.jpg,https://www.apidura.com/shop/expedition-saddle-pack/
Apidura,Expedition,Saddle Pack,13L,seatpack,13,48,15,17,,packed,MIN 38 cm / MAX 48 cm length; 17 cm height; Tapered Width: 15 - 5 cm; 15 cm diagonal,MAX 48 cm is the length at rated capacity; MIN 38 cm is fully rolled down. Width tapers 15 -> 5 cm.,maker,,TPU laminate (shiny welded),rolltop with quick-release buckle,tapered,1,,1,,,1,Black #1c1c1e,3,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-13l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-13l-on-bike-2.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-13l-2.jpg,https://www.apidura.com/shop/expedition-saddle-pack/
Apidura,Expedition,Saddle Pack,16L,seatpack,16,54,15,18,,packed,MIN 38 cm / MAX 54 cm length; 18 cm height; Tapered Width: 15 - 5 cm; 15 cm diagonal,MAX 54 cm is the length at rated capacity; MIN 38 cm is fully rolled down. Width tapers 15 -> 5 cm.,maker,,TPU laminate (shiny welded),rolltop with quick-release buckle,tapered,1,,1,,,1,Black #1c1c1e,3,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-16l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-16l-on-bike-2.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-saddle-pack-16l-2.jpg,https://www.apidura.com/shop/expedition-saddle-pack/
Apidura,Expedition,Handlebar Pack,9L,barroll,9,54,15,15,,packed,"MIN 30 cm / MAX 54 cm width; 15 cm height; bar clearance MIN 4.5 / MAX 6.9 cm, 3 cm stem drop","MIN 30 / MAX 54 cm is the roll-in range across the bars. MAX corresponds to the rated 9 L (pi/4 x 15 x 15 x 54 = 9.5 L). Depth is not separately specced; the section is round, so wid = the 15 cm height.",maker,,TPU laminate (shiny welded),roll-down ends with g-hook closures,cylindrical,2,,1,,,1,Black #1c1c1e,1,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition2-handlebar-system-9L-dimension-diagram-cm-1.svg,https://www.apidura.com/shop/expedition-handlebar-pack/
Apidura,Expedition,Handlebar Pack,14L,barroll,14,54,17,17,,packed,MIN 30 cm / MAX 54 cm width; 17 cm height; bar clearance MIN 4.5 / MAX 6.9 cm,"MAX 54 cm is the width at rated capacity; MIN 30 cm is fully rolled in. Round section, so wid = 17 cm height.",maker,,TPU laminate (shiny welded),roll-down ends with g-hook closures,cylindrical,2,,1,,,1,Black #1c1c1e,1,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition2-handlebar-system-14L-dimension-diagram-cm-1-1.svg,https://www.apidura.com/shop/expedition-handlebar-pack/
Apidura,Expedition,Front Accessory Pack,3.5L,barbag,3.5,27,7,23,,packed,27 cm wide x 23 cm tall (19 cm to top of mesh) x 7 cm deep,"Fixed-dimension diagram, no roll range. 19 cm is the height of the body below the roll-top.",maker,,TPU laminate (shiny welded),rolltop with magnetic seal and cord hook,wedge,0,,1,,,1,Black #1c1c1e,3,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-front-accessory-pack-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-front-accessory-pack-on-bike-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-front-accessory-pack-2.jpg,https://www.apidura.com/shop/expedition-front-accessory-pack/
Apidura,Expedition,Frame Pack,2.8L,framebag_half,2.8,38.5,6.5,12,,packed,38.5 cm top length; 26 cm bottom length; 10 cm and 12 cm heights; 2.5 cm rear height; Tapered Width: 6.5 - 6 cm (2.56 - 2.36 in),"Zippered pack, no roll range. wid is the max of the 6.5 -> 6 cm taper.",maker,,TPU laminate (shiny welded),waterproof zippers with internal fibreglass rails,wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-frame-pack-2.8l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-frame-pack-2.8l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-frame-pack/
Apidura,Expedition,Frame Pack,3.8L,framebag_half,3.8,43,6.5,14.5,,packed,43 cm top length; 30 cm bottom length; 12 cm and 14.5 cm heights; 3.5 cm rear height; Tapered Width: 6.5 - 6 cm,wid is the max of the 6.5 -> 6 cm taper.,maker,,TPU laminate (shiny welded),waterproof zippers with internal fibreglass rails,wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-frame-pack-3.8l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-frame-pack-3.8l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-frame-pack/
Apidura,Expedition,Frame Pack,4.3L,framebag_half,4.3,46,6.5,17,,packed,46 cm top length; 31 cm bottom length; 14.5 cm and 17 cm heights; 5 cm rear height; Tapered Width: 6.5 - 6 cm,wid is the max of the 6.5 -> 6 cm taper.,maker,,TPU laminate (shiny welded),waterproof zippers with internal fibreglass rails,wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-frame-pack-4.3l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-frame-pack-4.3l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-frame-pack/
Apidura,Expedition,Frame Pack,5.7L,framebag_half,5.7,49,6.5,18,,packed,49 cm top length; 36 cm bottom length; 15 cm and 18 cm heights; 7.5 cm rear height; Tapered Width: 6.5 - 6 cm,wid is the max of the 6.5 -> 6 cm taper.,maker,,TPU laminate (shiny welded),waterproof zippers with internal fibreglass rails,wedge,0,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-frame-pack-5.7l-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-frame-pack-5.7l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-frame-pack/
Apidura,Expedition,Full Frame Pack,4.6L,framebag_full,4.6,38.5,6.5,26.5,,packed,38.5 cm top; 26.5 cm seat-tube side; 39.5 cm downtube diagonal; 6 cm bottom; 2.5 cm rear; Tapered Width: 6.5 - 6 cm,"FALSE POSITIVE. Dimensions are correct as stored, straight off Apidura's own size diagram. Photo (assets/products/apidura/expedition-full-frame-pack-8l-1.jpg) shows a full main-triangle bag: long top-tube edge, tall seat-tube edge, ~6.5cm thick. A full-triangle frame bag CANNOT satisfy longest/middle >= 1.5 — a 56cm gravel frame's main triangle is roughly 4:3, so every correct framebag_full sits between 1.2 and 1.4. The check's elongation threshold is the thing that is wrong, not these numbers. Box is ~2x the stated litres in every size, exactly as expected for a triangle carried as a bounding box.",maker,,TPU laminate (shiny welded),"waterproof zippers with internal fibreglass rails, upper and lower access",wedge,0,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-full-frame-pack/
Apidura,Expedition,Full Frame Pack,6.8L,framebag_full,6.8,43,6.5,31,,packed,43 cm top; 31 cm seat-tube side; 44 cm downtube diagonal; 8 cm bottom; 3.5 cm rear; Tapered Width: 6.5 - 6 cm,"FALSE POSITIVE. Dimensions are correct as stored, straight off Apidura's own size diagram. Photo (assets/products/apidura/expedition-full-frame-pack-8l-1.jpg) shows a full main-triangle bag: long top-tube edge, tall seat-tube edge, ~6.5cm thick. A full-triangle frame bag CANNOT satisfy longest/middle >= 1.5 — a 56cm gravel frame's main triangle is roughly 4:3, so every correct framebag_full sits between 1.2 and 1.4. The check's elongation threshold is the thing that is wrong, not these numbers. Box is ~2x the stated litres in every size, exactly as expected for a triangle carried as a bounding box.",maker,,TPU laminate (shiny welded),"waterproof zippers with internal fibreglass rails, upper and lower access",wedge,0,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-full-frame-pack/
Apidura,Expedition,Full Frame Pack,8L,framebag_full,8,46,6.5,34.5,,packed,46 cm top; 34.5 cm seat-tube side; 47 cm downtube diagonal; 7.5 cm bottom; 5 cm rear; Tapered Width: 6.5 - 6 cm,"FALSE POSITIVE. Dimensions are correct as stored, straight off Apidura's own size diagram. Photo (assets/products/apidura/expedition-full-frame-pack-8l-1.jpg) shows a full main-triangle bag: long top-tube edge, tall seat-tube edge, ~6.5cm thick. A full-triangle frame bag CANNOT satisfy longest/middle >= 1.5 — a 56cm gravel frame's main triangle is roughly 4:3, so every correct framebag_full sits between 1.2 and 1.4. The check's elongation threshold is the thing that is wrong, not these numbers. Box is ~2x the stated litres in every size, exactly as expected for a triangle carried as a bounding box.",maker,,TPU laminate (shiny welded),"waterproof zippers with internal fibreglass rails, upper and lower access",wedge,0,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-full-frame-pack/
Apidura,Expedition,Full Frame Pack,10L,framebag_full,10,49,6.5,39,,packed,49 cm top; 39 cm seat-tube side; 49.5 cm downtube diagonal; 8.5 cm bottom; 7.5 cm rear; Tapered Width: 6.5 - 6 cm,"FALSE POSITIVE. Dimensions are correct as stored, straight off Apidura's own size diagram. Photo (assets/products/apidura/expedition-full-frame-pack-8l-1.jpg) shows a full main-triangle bag: long top-tube edge, tall seat-tube edge, ~6.5cm thick. A full-triangle frame bag CANNOT satisfy longest/middle >= 1.5 — a 56cm gravel frame's main triangle is roughly 4:3, so every correct framebag_full sits between 1.2 and 1.4. The check's elongation threshold is the thing that is wrong, not these numbers. Box is ~2x the stated litres in every size, exactly as expected for a triangle carried as a bounding box.",maker,,TPU laminate (shiny welded),"waterproof zippers with internal fibreglass rails, upper and lower access",wedge,0,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-full-frame-pack/
Apidura,Expedition,Top Tube Pack,0.6L,toptube,0.6,23.5,5,7,,packed,23.5 cm long x 7 cm tall; Tapered Width: 5 - 4 cm (2 - 1.6 in),wid is the max of the 5 -> 4 cm taper.,maker,,TPU laminate (shiny welded),waterproof zipper,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-top-tube-pack-0.6l-1-REV1-3.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-top-tube-pack-0.6l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-top-tube-pack/
Apidura,Expedition,Top Tube Pack,1L,toptube,1,23.5,5,10,,packed,23.5 cm long x 10 cm tall; Tapered Width: 5 - 4 cm,wid is the max of the 5 -> 4 cm taper.,maker,,TPU laminate (shiny welded),waterproof zipper,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-top-tube-pack-1l-1-REV1-2.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-top-tube-pack-1l-on-bike-1-2.jpg,https://www.apidura.com/shop/expedition-top-tube-pack/
Apidura,Expedition,Bolt-On Top Tube Pack,1L,toptube,1,23,5,10,,packed,23 cm long x 10 cm tall; Tapered Width: 5 - 4 cm; bolt spacing 6.4 cm,wid is the max of the 5 -> 4 cm taper. Bolts to top-tube bosses at 64 mm spacing.,maker,,TPU laminate (shiny welded),waterproof zipper,,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-bolt-on-top-tube-pack-1l-1-REV1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/02/apidura-expedition-bolt-on-top-tube-pack-1l-on-bike-1-1.jpg,https://www.apidura.com/shop/expedition-bolt-on-top-tube-pack-1l/
Apidura,Expedition,Stem Pack,1.3L,stembag,1.3,7,10,26,10,packed,10 cm wide; MIN 20 cm / MAX 26 cm tall; 7 cm deep,"CORRECTED. len was 26, a duplicate of the 26cm height, which made the box 26x26x10 = 6.8L against a stated 1.3L. The page states three distinct figures: 10 cm wide (across the bike), 26 cm tall at MAX roll, 7 cm deep (fore-aft). Photo (assets/products/apidura/expedition-stem-pack-1-3l-1.jpg) confirms a shallow upright pouch that is wider across the bike than it is deep — nothing about it is 26cm fore-aft. len set to the stated 7cm depth: box 1.82L, cylinder read 1.43L against 1.3L rated. Note the len=hgt duplication is a house convention for upright cylinders elsewhere in the catalogue (Backcountry Food Pouch, Blackburn Outpost Carryall) and buildStembag ignores len, so this is a data fix, not a render fix.",maker,,TPU laminate (shiny welded),"Fidlock magnetic snap, one-handed",tapered to clear the knee,,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-stem-pack/
Apidura,Expedition,Downtube Pack,1.5L,downtube,1.5,27,8,6.5,,packed,8 cm wide (top view); 6.5 cm tall; MIN 21 cm / MAX 27 cm long,MIN 21 / MAX 27 cm is the roll-down range; MAX is the length at rated 1.5 L.,maker,,TPU laminate (shiny welded),roll-down with quick-release buckle,asymmetric base tapered to clear the chainring,,,1,,,1,Black #1c1c1e,2,https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-downtube-pack-1.5l-1-1.jpg | https://medias.apidura.com/sHRQ6jzh/2026/04/apidura-expedition-downtube-pack-1.5l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-downtube-pack/
Apidura,Expedition,Cargo Cage Pack,1.5L,forkbag,1.5,8.5,9,28,9,packed,9 cm wide; MIN 19 cm / MAX 28 cm tall; Width: 8.5 cm (3.3 in) fore-aft,"CORRECTED. len was 28, a duplicate of the 28cm height (box 28x28x9 = 7.1L against 1.5L). The page gives 9 cm wide, MAX 28 cm tall, 8.5 cm fore-aft. Photo (assets/products/apidura/expedition-cargo-cage-pack-1-5l-1.jpg) is unambiguous: a tall thin dry-bag roughly 3x taller than wide, strapped to a cage. len set to 8.5: box 2.14L, cylinder read 1.68L against 1.5L rated. This one also mattered for rendering — buildForkbag sorts the three axes and takes the second-largest as girth, so the duplicated 28 was drawing a 28cm-fat blob instead of a 9cm tube. Kept MAX 28 rather than MIN 19: at 19cm the cylinder is 1.14L, below the rated capacity, and Apidura rates at MAX elsewhere (Expedition Saddle Pack 9L).",maker,,TPU laminate (shiny welded),roll-down with quick-release buckle,,,,1,,,1,Black #1c1c1e,0,,https://www.apidura.com/shop/expedition-cargo-cage-pack/
Apidura,Expedition,Cargo Cage Pack,3.5L,forkbag,3.5,28,13,28,,packed,13 cm wide; MIN 20 cm / MAX 28 cm tall; Width: 12 cm (4.7 in) fore-aft,MIN 20 / MAX 28 cm roll-down range; MAX used. Fore-aft depth 12 cm.,maker,,TPU laminate (shiny welded),roll-down with quick-release buckle,,,,1,,,1,Black #1c1c1e,1,https://medias.apidura.com/sHRQ6jzh/2026/06/apidura-expedition-cargo-cage-pack-3.5l-on-bike-1.jpg,https://www.apidura.com/shop/expedition-cargo-cage-pack/
