Sleeping Bag	Camp	24.0	Seat post bag
Tent - YMG 1P Cirriform	Camp	20.8	Fork right
Chair	Camp	18.0	Handle bar pack
Battery Pack	Electronics	16.1	Half Frame bag
Neoair Xlite	Camp	16	Handle bar pack
Therm-a-Rest Compressible Pillow	Camp	10.1	Fork right
Camp shoes	Clothing	8.0	Seat post bag (on top)
First Aid Kit	Bathroom	8.0	Half Frame bag
Mont Bell Anorak	Clothing	7.6	Seat post bag
Pot	Kitchen	7.5	Seat post bag (dangle)
Waterproof Trousers	Clothing	7.0	Fork left
Cycling Shorts	Clothing	7.0	On me
Patagonia Capilene Air	Clothing	6.5	Handle bar pack
iPhone 14 pro	Electronics	6.0	On frame
Waterproof Overshoes	Clothing	6.0	Fork left
Hand Pump	Bike	6.0	On frame
Casual Shorts	Clothing	5.0	Seat post bag
Eye Glasses / Sunglasses / case	Clothing	5.0	Top Tube Bag
Mosquito Spray	Bathroom	5.0	Half Frame bag
Leatherman skeletool	Kitchen	5.0	TT sack
Tubolito 1 (650b)	Bike	4.7	TT sack
Tubolito 2 (650b)	Bike	4.7	TT sack
Go Pro 7	Electronics	4.1	On frame
Go Pro 6	Electronics	4.1	On me
Headlamp	Electronics	4.0	Front Pocket
On-Bike T-shirt	Clothing	4.0	On me
Camp T-shirt	Clothing	4.0	Fork left
Wallet	Clothing	4.0	Hip sack
Hiking Socks	Clothing	4.0	Fork left
Water Bottle 1	Kitchen	4.0	On frame
Water Bottle 2	Kitchen	4.0	On frame
Gore Tex Shakedry jacket	Clothing	3.9	Fork left
Tent Pegs	Camp	3.6	Half Frame bag
Gas canister	Kitchen	3.5	Half Frame bag
Tent Poles	Camp	3	Half Frame bag
Boxer Shorts 1	Clothing	3.0	Fork left
Sunscreen	Bathroom	3.0	Half Frame bag
Paracord - bear line	Camp	3.0	Half Frame bag
Pedco ultra pod	Electronics	2.9	Hip sack
Wet Wipes	Bathroom	2.6	Half Frame bag
Inflatable pillow	Camp	2.4	Front Pocket
Foldup Backpack	Camp	2.4	Front Pocket
Bike Tool	Bike	2.0	TT sack
Tooth brush + tooth paste	Bathroom	2.0	Front Pocket
Cycling gloves - fingerless	Clothing	2.0	Half Frame bag (Left)
Cycling gloves - full finger	Clothing	2.0	Half Frame bag (Left)
Water filter	Bathroom	2.0	not packed
Zip lock lock	Bike	1.0	Half Frame bag (left)
Apple Watch	Electronics	1.0	On me
Lighter	Kitchen	1.0	Front Pocket
Ti Spork	Kitchen	1.0	Front Pocket
Go pro battery 2	Electronics	1.0	Front Pocket
Go pro double battery recharger	Electronics	1.0	Half Frame bag
iPhone Cable	Electronics	1.0	Half Frame bag
USB Wall Plug	Electronics	1.0	Half Frame bag
Lightning USB Cable	Electronics	1.0	Half Frame bag
Apple Watch charger	Electronics	1.0	Half Frame bag
Micro USB Cable	Electronics	1.0	Half Frame bag
Go Pro Cable	Electronics	1.0	Half Frame bag
Buff	Clothing	1.0	Seat post bag
Plastic tire removal tool *2	Bike	1.0	Half Frame bag (Left)
Electrical Tape	Bike	1.0	Half Frame bag (Left)
Bar of soap	Bathroom	1.0	Half Frame bag
Stove	Kitchen	1.0	Front Pocket
Lid	Kitchen	0.6	Half Frame bag
Patch kit	Bike	0.5	TT sack
Clothes line	Camp	0.5	Front Pocket
